idx,abs_rel,d1,rmse
1338,1.153247,0.000419,4.501516
1339,1.619150,0.063146,5.401065
1340,1.624897,0.139764,4.717647
1347,3.016803,0.000000,6.429272
1348,3.035924,0.000000,6.328200
1349,2.817286,0.000000,6.299057
1353,3.085358,0.003907,6.271915
1354,2.685326,0.013011,5.789377
1355,2.370183,0.000000,5.949862
1356,2.072255,0.000000,5.812721
1364,1.853902,0.057252,5.448089
1365,1.982371,0.000000,5.548676
1368,1.528395,0.000000,5.198291
1369,1.671388,0.000113,5.703406
1384,2.194249,0.000000,6.119353
1385,2.191800,0.000000,5.968992
1386,2.096035,0.020251,5.896587
1387,2.123906,0.090719,5.164368
1388,2.006776,0.000000,5.750300
1389,2.418343,0.000000,6.705471
1390,1.625109,0.074581,4.933136
1391,2.086166,0.000000,6.337627
1394,2.133306,0.000134,5.282460
1395,2.758412,0.000000,5.766651
1396,2.586088,0.000000,6.042241
1397,1.480016,0.004707,5.279108
1398,2.691436,0.000000,6.259725
1399,3.435829,0.000000,6.486015
1400,2.628952,0.000000,5.981785
1401,2.851490,0.002142,6.090537
1407,1.587606,0.006778,5.296363
1408,2.266526,0.000000,5.886796
1409,2.148880,0.000000,5.217042
1410,1.721915,0.038716,5.364785
1411,3.176918,0.000000,6.570280
1412,1.980304,0.000034,5.858900
1413,2.512974,0.000000,6.276803
1414,2.823671,0.000000,6.299957
1421,1.833022,0.016931,5.681279
1422,3.583264,0.000000,6.371511
1423,3.186026,0.000000,6.305133
1424,2.400011,0.000008,5.996497
1430,2.322034,0.000000,5.914004
1431,2.618937,0.000000,5.989480
1432,2.729264,0.026149,5.680624
1433,1.789863,0.034658,4.990319
1441,3.120488,0.004888,6.376761
1442,2.158077,0.000000,5.496092
1443,2.749205,0.001270,6.166777
1444,1.899604,0.000000,5.655248
1445,2.783951,0.000000,6.049640
1446,2.288691,0.000000,5.652995
1447,2.807115,0.000566,5.721160
1448,2.137994,0.007042,5.093582
1449,2.338571,0.006221,5.742018
