idx,abs_rel,d1,rmse
0558,3.252124,0.000000,6.207810
0559,3.461860,0.000000,6.287058
0560,4.464305,0.000000,7.543758
0561,6.100245,0.000000,7.434484
0562,2.885321,0.000000,6.249239
0563,4.110158,0.000000,6.800893
0564,2.722416,0.000000,6.118096
0565,2.735136,0.000000,6.018810
0566,2.612706,0.000000,6.402971
0567,2.755695,0.000000,6.109017
0568,2.507666,0.000000,6.212624
0569,2.881286,0.000000,6.526515
0570,3.420359,0.000000,6.622534
0571,3.193927,0.000000,6.241418
0579,1.800975,0.000000,5.668973
0580,2.131745,0.000000,6.283192
0581,2.089601,0.000000,5.894290
0582,1.940679,0.000000,5.739624
0583,2.308409,0.000000,5.962797
0591,2.501843,0.000000,6.268573
0592,2.181119,0.000000,5.814148
0593,2.676110,0.000000,6.341615
0594,2.459197,0.000000,6.252318
0603,1.778402,0.000000,4.754076
0604,2.554318,0.000000,5.736931
0605,2.038122,0.000000,6.074137
0606,2.619567,0.000000,6.401887
0607,2.627324,0.000000,6.042054
0612,2.226272,0.000000,6.205453
0613,2.359493,0.000000,5.937180
0617,2.615305,0.000000,6.218480
0618,2.611259,0.000000,6.222474
0619,3.288896,0.000000,6.156311
0620,2.864383,0.000000,6.684898
0621,3.986762,0.000000,6.739813
0633,1.809534,0.030508,5.727989
0634,2.143466,0.000000,6.294197
0635,1.912362,0.003173,5.630215
0636,2.743989,0.000000,6.177382
0637,3.450872,0.000000,6.761594
0638,3.197430,0.000000,6.632092
0644,3.440696,0.000000,6.391031
0645,3.027002,0.000000,6.191916
0650,3.601689,0.024187,6.675457
0651,4.159129,0.000000,6.771389
0656,3.361730,0.000000,6.700381
0657,3.819003,0.000000,6.759484
0658,6.103278,0.000000,7.726102
0663,3.825945,0.000000,5.928043
0664,4.480321,0.000000,6.911497
0668,1.882944,0.006518,5.854072
0669,2.719067,0.000000,6.596217
0670,3.476533,0.019974,6.174198
0671,3.091001,0.000000,6.361996
0672,2.590396,0.000000,6.269351
0673,2.342039,0.000000,6.282680
0676,3.405343,0.000000,6.446659
0677,4.498278,0.000000,6.499359
0678,3.559693,0.000000,6.186351
0679,4.834228,0.000000,7.022330
0680,2.817531,0.000000,5.831856
0681,2.619270,0.000000,6.102590
0686,2.099844,0.000000,5.943530
0687,2.729750,0.000901,5.854032
0688,3.657191,0.000000,5.883416
0689,3.286500,0.000000,5.847002
0690,3.962157,0.000000,6.166185
0693,3.066266,0.000000,6.430683
0694,4.534565,0.000000,6.858392
0697,4.534300,0.000000,6.566500
0698,3.268832,0.000000,6.827169
0699,2.837207,0.000000,6.303402
0706,2.645356,0.000000,5.155683
0707,4.239807,0.000000,6.129237
0708,4.578353,0.000000,7.030294
0709,3.078531,0.000000,6.080789
0710,5.493173,0.000000,7.091081
0711,4.041541,0.000000,6.082118
0712,2.226203,0.000000,6.243079
0713,2.746477,0.000000,6.302460
0717,5.225095,0.000000,6.957754
0718,4.721769,0.000000,6.825058
0724,2.405862,0.000000,5.455058
0725,2.822658,0.000000,6.255325
0726,3.125757,0.000000,6.346831
0727,3.321590,0.000000,6.292620
0728,3.857562,0.000000,7.095269
0731,4.043164,0.000000,6.427133
0732,3.808229,0.000000,6.372420
0733,3.608816,0.000000,6.604653
0734,6.922154,0.000000,7.667237
0743,3.239517,0.000000,6.498461
0744,3.907788,0.000000,6.530450
0759,2.936698,0.000000,5.895812
0760,2.582626,0.001429,5.639462
0761,3.476957,0.000000,6.273930
0762,2.117013,0.000000,5.772703
0763,2.865178,0.000000,6.088968
0764,2.879258,0.030910,5.679180
0765,4.445126,0.000000,6.958720
0766,2.162551,0.000566,5.847290
0767,2.332961,0.000000,5.923845
0768,1.944976,0.000000,5.407928
0769,2.950310,0.000000,6.035988
0770,3.664699,0.000000,7.058026
0771,3.747921,0.000000,6.842905
0772,3.226002,0.000000,6.738584
0773,2.648976,0.000000,6.089709
0774,3.115654,0.000000,6.008273
0775,3.300505,0.000000,6.217784
0776,3.427269,0.000000,6.587317
0777,2.563397,0.000000,6.467042
0778,2.143548,0.000369,5.613306
0779,2.707420,0.000000,6.075539
0780,1.913979,0.000000,5.326413
0781,2.459446,0.000000,6.042317
0782,1.824404,0.000000,5.564893
0783,2.291037,0.003194,5.246890
0784,1.771875,0.072137,5.140666
0785,3.047028,0.091885,5.636598
0786,2.496137,0.001320,5.384640
0787,2.509582,0.039219,5.641053
0800,5.861127,0.000000,8.072780
0801,1.873522,0.137575,5.193741
0802,1.373685,0.100956,5.107058
0803,2.118937,0.000000,5.629176
0804,3.498230,0.000000,6.359188
0810,2.766469,0.003781,5.522517
0811,1.736544,0.000516,5.317751
0812,2.491095,0.000000,5.433791
0813,3.264010,0.000000,6.236307
0814,2.506774,0.000000,6.429118
0821,2.805998,0.000000,5.886808
0822,3.129261,0.001274,6.360200
0823,2.864243,0.000000,6.362299
0833,2.586051,0.000000,5.662237
0834,2.856069,0.008711,6.285983
0835,2.561793,0.000000,5.711043
0836,2.068974,0.000000,5.681918
0837,2.407881,0.001153,5.729931
0838,3.449414,0.000000,6.607208
0839,3.128685,0.001476,6.052670
0840,4.748078,0.000000,6.814541
0841,5.281587,0.000000,6.913448
0842,2.144141,0.000000,5.846523
0843,2.552195,0.000000,6.273439
0844,2.605267,0.000000,6.094718
0845,2.838808,0.000000,6.230347
0846,5.598245,0.000000,7.280746
0850,1.852142,0.000352,5.479573
0851,2.917540,0.000000,6.104209
0852,3.168399,0.000000,6.379960
0857,3.279432,0.000000,5.872806
0858,4.899692,0.005646,6.580121
0859,4.872118,0.007294,6.635202
0860,2.490306,0.000000,5.948225
0861,3.702295,0.000000,6.215444
0862,2.925014,0.012475,6.052265
0869,2.012938,0.000000,6.019273
0870,1.886256,0.000000,5.763609
0871,3.006305,0.000000,5.737014
0906,1.706146,0.000788,4.963869
0907,3.750856,0.000000,6.435567
0908,2.672385,0.000298,5.863418
0917,1.743281,0.000000,5.642771
0918,1.745034,0.000000,5.413085
0919,2.000687,0.000000,5.641515
0926,2.512367,0.000000,5.951998
0927,2.893145,0.000000,6.432122
0928,4.337677,0.000000,6.813517
0932,2.573322,0.000000,6.311233
0933,2.143920,0.000000,6.129472
0934,2.873933,0.000000,6.600603
0935,2.733654,0.000000,6.208703
0945,2.464263,0.000000,6.194245
0946,2.796469,0.000000,6.299659
0947,2.090589,0.000000,5.926976
0959,2.029800,0.000000,5.963485
0960,2.415111,0.000000,5.965896
0961,2.159784,0.000000,6.189849
0962,2.143927,0.000000,5.995632
0965,2.217010,0.000000,6.236581
0966,2.626343,0.000000,6.353401
0967,3.175418,0.000000,6.029521
0970,1.595372,0.000000,5.574414
0971,1.707109,0.000000,5.733851
0972,2.066315,0.000000,5.911699
0973,2.520240,0.000000,6.319829
0974,2.499800,0.000000,5.946809
0975,2.065342,0.000000,6.107575
0976,2.026734,0.000000,5.908309
0977,2.139476,0.000000,6.077845
0991,2.317509,0.000537,6.229987
0992,1.804856,0.000000,6.028617
0993,2.071210,0.000000,6.125316
0994,2.208895,0.000000,6.561365
