rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000045.png,0.038359,0.982776,1.707106
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000078.png,0.053266,0.976381,2.027928
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000036.png,0.038581,0.984056,2.264822
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000051.png,0.045504,0.983429,2.195840
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000054.png,0.050878,0.982553,2.207918
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000042.png,0.037102,0.990622,1.671636
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000018.png,0.114139,0.989975,1.658067
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000090.png,0.079654,0.926326,4.188894
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000126.png,0.060785,0.961063,2.984151
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000378.png,0.072111,0.943767,3.390154
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000036.png,0.069783,0.958923,3.857425
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000288.png,0.086410,0.920863,3.106229
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000198.png,0.071131,0.933131,3.470013
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000450.png,0.063628,0.958560,3.193083
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000144.png,0.052795,0.955167,3.224113
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000072.png,0.084451,0.968159,2.810498
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000252.png,0.107257,0.879763,4.156453
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000180.png,0.051689,0.960517,2.806492
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000432.png,0.076775,0.898181,4.693632
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000396.png,0.050670,0.955490,2.873251
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000054.png,0.076827,0.982859,2.364761
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000468.png,0.051952,0.968416,3.172143
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000306.png,0.085218,0.919150,4.385694
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000108.png,0.074734,0.916676,3.398229
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000162.png,0.058282,0.929770,3.298599
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000342.png,0.055756,0.977647,2.416250
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000270.png,0.053523,0.953560,2.894988
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000414.png,0.062252,0.945011,3.105838
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000216.png,0.088021,0.914275,3.638004
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000360.png,0.054032,0.948659,2.225423
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000324.png,0.101003,0.899880,2.909546
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000077.png,0.097335,0.910722,4.390920
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000035.png,0.097016,0.882809,3.602500
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000091.png,0.073212,0.931370,3.859243
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000112.png,0.064030,0.946270,3.391131
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000007.png,0.095273,0.895615,3.842659
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000175.png,0.080532,0.933069,3.948513
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000042.png,0.067744,0.953206,3.664579
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000098.png,0.073378,0.949870,3.443395
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000133.png,0.105453,0.865435,4.205863
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000161.png,0.064149,0.951665,3.358427
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000014.png,0.089160,0.915137,3.811068
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000126.png,0.063419,0.913949,3.906349
