rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000014.png,0.089559,0.937168,3.227428
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000028.png,0.112238,0.901342,4.700755
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000182.png,0.125793,0.873594,3.034942
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000168.png,0.120602,0.887490,2.755664
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000196.png,0.131820,0.903246,2.402464
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000140.png,0.135536,0.797011,3.397118
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000084.png,0.107305,0.877837,2.413687
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000056.png,0.088439,0.956110,4.438125
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000112.png,0.108308,0.880088,3.405753
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000352.png,0.124289,0.918162,3.333171
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000126.png,0.111480,0.940092,3.372482
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000070.png,0.106328,0.935005,3.429708
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000310.png,0.124580,0.929191,1.999041
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000154.png,0.131754,0.839115,2.945001
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000098.png,0.111456,0.899316,2.839657
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000408.png,0.158334,0.698903,5.140490
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000042.png,0.098700,0.941061,4.606219
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000338.png,0.158295,0.811597,4.258966
2011_09_26/2011_09_26_drive_0036_sync/image_02/data/0000000128.png,0.116342,0.989891,2.960352
2011_09_26/2011_09_26_drive_0036_sync/image_02/data/0000000192.png,0.104079,0.951400,4.743407
2011_09_26/2011_09_26_drive_0036_sync/image_02/data/0000000032.png,0.088969,0.985068,2.163775
