idx,abs_rel,d1,rmse
0858,0.285585,0.708283,0.767739
0859,0.153658,0.795163,0.887849
0860,0.076972,0.880374,0.654721
0861,0.236182,0.645515,1.320013
0862,0.065133,0.966340,0.398025
0869,0.053056,0.982009,0.202897
0870,0.040193,0.994890,0.157099
0871,0.057078,0.999329,0.118319
0906,0.059553,0.971873,0.271911
0907,0.123213,0.941549,0.306474
0908,0.111716,0.890413,0.437127
0917,0.100328,0.905843,0.474255
0918,0.062846,0.993830,0.310729
0919,0.083445,0.960052,0.307733
0926,0.105655,0.892698,0.274689
0927,0.043148,0.995569,0.226089
0928,0.085001,0.991948,0.152908
0932,0.057941,0.981078,0.179945
0933,0.089246,0.996089,0.327238
0934,0.041207,0.999996,0.108960
0935,0.080243,0.907030,0.212867
0945,0.040494,0.997682,0.118771
0946,0.067559,0.967526,0.194047
0947,0.031460,0.994978,0.182887
0959,0.071521,0.996475,0.251467
0960,0.108900,0.899853,0.322068
0961,0.067462,0.991792,0.219887
0962,0.052911,1.000000,0.159357
0965,0.034462,0.993863,0.143235
0966,0.039534,0.960002,0.125998
0967,0.088663,0.921391,0.181937
0970,0.057870,0.998042,0.272435
0971,0.084547,0.999279,0.333325
0972,0.092300,0.878316,0.331132
0973,0.059039,0.995326,0.174475
0974,0.117555,0.831610,0.391335
0975,0.164322,0.698860,0.540296
0976,0.091898,0.946219,0.430657
0977,0.075563,0.998759,0.311426
0991,0.155450,0.866394,0.507132
0992,0.092255,0.938284,0.394160
0993,0.153239,0.898717,0.673316
0994,0.087646,0.953253,0.317809
0995,0.082517,0.953664,0.252652
1001,0.109807,0.826777,0.260306
1002,0.105072,0.969203,0.301961
1003,0.062536,0.996940,0.203701
1004,0.082332,0.944341,0.337853
1010,0.087686,0.955672,0.336558
1011,0.064216,0.980546,0.218503
1012,0.073753,0.986142,0.235094
1021,0.114647,0.842350,0.321199
1022,0.071708,0.974732,0.351569
1023,0.038731,0.992811,0.162800
1032,0.149319,0.872787,0.445753
1033,0.041397,0.999916,0.121395
1034,0.096244,0.997078,0.262759
1038,0.103135,0.990874,0.241393
1039,0.144227,0.902666,0.478244
1048,0.278818,0.554322,0.514743
1049,0.109899,0.978664,0.511234
1052,0.046381,0.994974,0.138658
1053,0.074836,0.990564,0.152720
1057,0.072795,0.999581,0.237682
1058,0.097081,0.982637,0.258853
1075,0.060688,0.995858,0.218151
1076,0.089049,0.994706,0.338992
1077,0.147284,0.821227,0.442027
1078,0.185618,0.537961,0.494388
1079,0.143658,0.917635,0.410609
1080,0.051608,0.988825,0.187211
1081,0.104860,0.914638,0.396896
1082,0.051536,0.980600,0.252490
1083,0.072004,0.986704,0.227732
1084,0.119782,0.874535,0.407411
1088,0.153376,0.848298,0.357827
1089,0.077843,0.950993,0.283337
1090,0.156828,0.921571,0.347688
1091,0.091666,0.867769,0.282622
1092,0.071812,0.984754,0.216551
1093,0.044398,0.980894,0.141294
1094,0.057661,0.982809,0.188476
1095,0.137826,0.901211,0.351455
1096,0.142578,0.970817,0.293259
1098,0.046684,0.999321,0.181012
1099,0.043921,0.995066,0.195718
1100,0.069049,0.987949,0.230946
1101,0.043058,0.991268,0.170659
1102,0.090211,0.815430,0.307911
1103,0.088953,0.926798,0.296840
1104,0.079883,0.985220,0.236869
1106,0.064149,0.977930,0.207250
1107,0.052559,0.997879,0.253125
1108,0.064770,0.987051,0.352911
1109,0.092114,0.997116,0.292307
1117,0.059227,0.999660,0.216930
1118,0.040013,0.998818,0.100171
1119,0.074716,0.929489,0.152661
1123,0.046802,0.997774,0.142248
1124,0.036546,0.999866,0.138230
1125,0.062855,0.992576,0.229561
1126,0.200242,0.736381,0.458603
1127,0.048835,0.986557,0.198217
1128,0.060778,0.971894,0.172471
1129,0.055895,0.979737,0.224731
1130,0.081120,0.939202,0.296371
1131,0.048439,0.999455,0.140640
1135,0.037020,0.999765,0.114361
1136,0.065359,0.999141,0.153365
1144,0.095496,0.913703,0.205613
1145,0.043670,0.987554,0.224716
1146,0.102106,0.896282,0.505330
1147,0.049719,0.998885,0.139794
1148,0.059990,0.999258,0.217388
1149,0.205605,0.695523,0.357687
1150,0.043549,0.977138,0.259719
1151,0.089943,0.963963,0.370914
1152,0.039237,0.999350,0.122855
1153,0.106004,0.925788,0.201328
1154,0.070539,0.997707,0.172341
1155,0.073567,0.951065,0.200021
1156,0.093523,0.980584,0.217524
1157,0.058745,0.955864,0.198788
1158,0.060949,0.991495,0.134782
1162,0.086369,0.978345,0.209206
1163,0.048818,1.000000,0.149386
1164,0.051950,0.999736,0.114339
1165,0.036549,0.996659,0.167651
1166,0.058117,0.995490,0.266466
1167,0.053826,0.994400,0.130555
1170,0.060691,0.997179,0.209940
1171,0.051481,0.999950,0.170543
1174,0.086298,0.996026,0.235407
1175,0.045971,0.999053,0.138177
1176,0.168555,0.791642,0.427183
1179,0.100745,0.991646,0.284646
1180,0.064856,0.971491,0.196738
1181,0.080690,0.987638,0.340608
1182,0.052641,0.967635,0.288168
1183,0.038767,0.994010,0.138183
1184,0.055535,0.999673,0.173058
1192,0.034198,0.999342,0.173165
1193,0.099704,0.996865,0.373809
1194,0.050364,0.995029,0.232263
1195,0.040989,0.999862,0.127988
1196,0.071422,0.995561,0.143830
1201,0.095488,0.958862,0.264511
1202,0.053281,0.999765,0.164590
1203,0.141680,0.771211,0.333060
1204,0.099465,0.859004,0.539652
1205,0.065436,0.952486,0.531302
1206,0.105812,0.954301,0.716955
1207,0.080669,0.930034,0.459161
1208,0.150288,0.789881,0.597105
1209,0.132593,0.841055,0.623181
1210,0.106679,0.860215,0.507646
1211,0.098280,0.942111,0.396897
1212,0.196660,0.684562,0.786547
1216,0.063942,0.997925,0.224088
1217,0.033687,0.992895,0.216204
1218,0.092061,0.939047,0.325175
1219,0.075084,0.948952,0.734548
1220,0.105971,0.894710,1.028307
1226,0.056132,0.981539,0.206359
1227,0.071545,0.962060,0.513416
1228,0.100196,0.957960,0.413580
1229,0.086655,0.970552,0.379189
1230,0.084617,0.949744,0.276542
1233,0.078583,0.936419,0.217895
1234,0.107414,0.913234,0.534475
1235,0.105408,0.979670,0.324002
1247,0.114781,0.931728,0.532817
1248,0.078268,0.991063,0.391543
1249,0.107227,0.974606,0.294962
1250,0.115393,0.997409,0.459249
1254,0.049098,0.989768,0.244231
1255,0.076357,0.906992,0.450691
1256,0.056425,0.945699,0.435729
1257,0.087403,0.980801,0.482017
1258,0.076935,0.958371,0.318160
1259,0.089198,0.953676,0.390170
1260,0.093458,0.923260,0.370594
1261,0.071712,0.970875,0.280863
1262,0.043459,0.988095,0.192890
1263,0.078458,0.962513,0.359997
1264,0.074946,0.970263,0.233758
1265,0.039523,0.988426,0.370974
1275,0.119548,0.912504,0.553169
1276,0.102451,0.882990,0.744372
1277,0.083053,0.972963,0.378628
1278,0.143707,0.785471,0.537945
1279,0.126979,0.968842,0.533715
1280,0.044689,0.998336,0.292250
1285,0.078996,0.959310,0.264162
1286,0.056649,0.985492,0.248969
1287,0.081404,0.911712,0.215617
1288,0.046502,0.994555,0.207599
1289,0.069266,0.984587,0.294821
1290,0.096729,0.943528,0.345429
1291,0.055892,0.958132,0.404014
1292,0.093903,0.921328,0.597076
1293,0.130689,0.829967,0.758202
1294,0.072084,0.925444,0.202915
1295,0.061315,0.952037,0.409997
1297,0.064222,0.999027,0.200008
1298,0.125090,0.832340,0.434099
1299,0.064785,0.998143,0.261661
1302,0.092199,0.923835,0.599499
1303,0.101516,0.919907,0.366881
1304,0.069665,0.969429,0.532215
1305,0.118509,0.920314,0.514236
1306,0.099808,0.926404,0.410289
1307,0.049570,0.964265,0.417237
1308,0.077219,0.900377,0.443933
1314,0.081836,0.968922,0.197660
1315,0.043576,0.978848,0.292244
1329,0.131006,0.817409,0.719356
1330,0.076441,0.948927,0.390392
1331,0.057992,0.972799,0.342583
1332,0.131642,0.979431,0.382914
1335,0.057058,0.969538,0.358824
1336,0.080664,0.936142,0.370211
1337,0.058917,0.962898,0.452498
1338,0.084247,0.977335,0.567183
1339,0.188485,0.608669,1.481968
1340,0.105717,0.936465,0.673236
1347,0.099819,0.940665,0.290152
1348,0.039119,0.998545,0.112949
1349,0.071123,0.943343,0.222926
1353,0.214187,0.661079,0.942823
1354,0.108532,0.869735,0.918623
1355,0.149514,0.826140,0.531473
1356,0.088211,0.868180,0.435177
1364,0.259164,0.574120,1.293503
1365,0.094713,0.882692,0.469219
1368,0.099690,0.972736,0.538768
1369,0.127878,0.868918,0.613471
1384,0.103393,0.944815,0.489773
1385,0.088087,0.942710,0.467259
1386,0.063299,0.974187,0.354031
1387,0.230085,0.615447,0.796107
1388,0.071983,0.991692,0.275114
1389,0.070198,0.977104,0.328651
1390,0.087872,0.925390,0.620043
1391,0.095669,0.998080,0.320485
1394,0.154639,0.785727,0.590420
1395,0.094442,0.943071,0.370305
1396,0.231948,0.668289,0.745654
1397,0.087520,0.910915,0.461974
1398,0.068366,0.949748,0.239174
1399,0.127194,0.882973,0.456789
1400,0.136471,0.907382,0.549382
1401,0.156916,0.783715,0.502116
1407,0.046136,0.976631,0.420679
1408,0.050299,0.975973,0.251514
1409,0.079167,0.961041,0.378736
1410,0.055484,0.980039,0.462303
1411,0.058440,0.992958,0.156662
1412,0.167411,0.823290,0.756336
1413,0.053282,0.957935,0.171541
1414,0.072271,0.942648,0.186737
1421,0.085029,0.908962,0.521843
1422,0.151130,0.909105,0.288409
1423,0.111362,0.965816,0.270015
1424,0.069032,0.965996,0.327182
1430,0.044148,0.980659,0.200366
1431,0.143179,0.847405,0.430430
1432,0.142479,0.829192,0.487630
1433,0.117308,0.877976,0.671247
1441,0.082491,0.904808,0.258153
1442,0.034660,0.995594,0.111028
1443,0.085696,0.941189,0.432113
1444,0.093110,0.945871,0.396469
1445,0.120697,0.911209,0.444636
1446,0.147468,0.809084,0.420842
1447,0.079364,0.941512,0.278659
1448,0.098390,0.919777,0.522387
1449,0.090463,0.906703,0.394030
